"year","country","sex","age","population","gdp_per_capita","suicides_no","suicide_per_100k"
1985,"Antigua and Barbuda","female","15-24",7709,3850,0,0
1985,"Antigua and Barbuda","female","25-34",6344,3850,0,0
1985,"Antigua and Barbuda","female","35-54",6173,3850,0,0
1985,"Antigua and Barbuda","female","5-14",7339,3850,0,0
1985,"Antigua and Barbuda","female","55-74",3778,3850,0,0
1985,"Antigua and Barbuda","female","75+",949,3850,0,0
1985,"Antigua and Barbuda","male","15-24",7667,3850,0,0
1985,"Antigua and Barbuda","male","25-34",6194,3850,0,0
1985,"Antigua and Barbuda","male","35-54",5970,3850,0,0
1985,"Antigua and Barbuda","male","5-14",7304,3850,0,0
1985,"Antigua and Barbuda","male","55-74",2723,3850,0,0
1985,"Antigua and Barbuda","male","75+",424,3850,0,0
1985,"Argentina","female","15-24",2354200,3264,69,2.930931951406
1985,"Argentina","female","25-34",2185200,3264,65,2.97455610470437
1985,"Argentina","female","35-54",3355300,3264,142,4.23211039251334
1985,"Argentina","female","5-14",2955200,3264,11,0.37222523010287
1985,"Argentina","female","55-74",2304000,3264,210,9.11458333333333
1985,"Argentina","female","75+",537000,3264,41,7.63500931098696
1985,"Argentina","male","15-24",2415200,3264,156,6.45909241470686
1985,"Argentina","male","25-34",2234200,3264,177,7.92229880941724
1985,"Argentina","male","35-54",3346300,3264,414,12.3718734124257
1985,"Argentina","male","5-14",3044200,3264,16,0.525589645883976
1985,"Argentina","male","55-74",1997000,3264,485,24.2864296444667
1985,"Argentina","male","75+",363000,3264,202,55.6473829201102
1985,"Australia","female","15-24",1304000,12374,69,5.29141104294479
1985,"Australia","female","25-34",1275900,12374,64,5.01606708989733
1985,"Australia","female","35-54",1832700,12374,143,7.8026954766192
1985,"Australia","female","5-14",1231400,12374,4,0.324833522819555
1985,"Australia","female","55-74",1286900,12374,109,8.46996658637035
1985,"Australia","female","75+",382900,12374,36,9.40193261948289
1985,"Australia","male","15-24",1355800,12374,315,23.2335152677386
1985,"Australia","male","25-34",1299100,12374,357,27.4805634670156
1985,"Australia","male","35-54",1906800,12374,411,21.5544367526746
1985,"Australia","male","5-14",1290600,12374,4,0.30993336432667
1985,"Australia","male","55-74",1177400,12374,282,23.9510786478682
1985,"Australia","male","75+",219000,12374,67,30.5936073059361
1985,"Austria","female","15-24",633592,9759,50,7.89151378173967
1985,"Austria","female","25-34",544765,9759,56,10.2796618725505
1985,"Austria","female","35-54",936799,9759,186,19.8548461302798
1985,"Austria","female","5-14",453859,9759,2,0.44066549302757
1985,"Austria","female","55-74",842978,9759,220,26.0979527342351
1985,"Austria","female","75+",339223,9759,110,32.4270465151243
1985,"Austria","male","15-24",653728,9759,207,31.6645454990455
1985,"Austria","male","25-34",548783,9759,232,42.2753620283427
1985,"Austria","male","35-54",940526,9759,515,54.7565936507869
1985,"Austria","male","5-14",475074,9759,6,1.26296113868576
1985,"Austria","male","55-74",584253,9759,355,60.761348251528
1985,"Austria","male","75+",156535,9759,152,97.1028843389657
1985,"Bahamas","female","15-24",23300,11393,0,0
1985,"Bahamas","female","25-34",19500,11393,0,0
1985,"Bahamas","female","35-54",22500,11393,0,0
1985,"Bahamas","female","5-14",24500,11393,0,0
1985,"Bahamas","female","55-74",11200,11393,0,0
1985,"Bahamas","female","75+",2700,11393,0,0
1985,"Bahamas","male","15-24",23900,11393,0,0
1985,"Bahamas","male","25-34",19100,11393,0,0
1985,"Bahamas","male","35-54",21000,11393,1,4.76190476190476
1985,"Bahamas","male","5-14",25100,11393,0,0
1985,"Bahamas","male","55-74",9400,11393,0,0
1985,"Bahamas","male","75+",1500,11393,0,0
1985,"Bahrain","female","15-24",37800,9980,0,0
1985,"Bahrain","female","25-34",27600,9980,0,0
1985,"Bahrain","female","35-54",26900,9980,1,3.71747211895911
1985,"Bahrain","female","5-14",41400,9980,0,0
1985,"Bahrain","female","55-74",8700,9980,0,0
1985,"Bahrain","female","75+",1500,9980,0,0
1985,"Bahrain","male","15-24",49700,9980,0,0
1985,"Bahrain","male","25-34",67600,9980,7,10.3550295857988
1985,"Bahrain","male","35-54",49700,9980,3,6.03621730382294
1985,"Bahrain","male","5-14",42000,9980,0,0
1985,"Bahrain","male","55-74",11600,9980,0,0
1985,"Bahrain","male","75+",1400,9980,0,0
1985,"Barbados","female","15-24",26000,6137,0,0
1985,"Barbados","female","25-34",22000,6137,2,9.09090909090909
1985,"Barbados","female","35-54",24000,6137,0,0
1985,"Barbados","female","5-14",24000,6137,0,0
1985,"Barbados","female","55-74",19000,6137,0,0
1985,"Barbados","female","75+",7000,6137,0,0
1985,"Barbados","male","15-24",26000,6137,0,0
1985,"Barbados","male","25-34",22000,6137,1,4.54545454545454
1985,"Barbados","male","35-54",20000,6137,0,0
1985,"Barbados","male","5-14",24000,6137,0,0
1985,"Barbados","male","55-74",13000,6137,3,23.0769230769231
1985,"Barbados","male","75+",4000,6137,1,25
1985,"Belgium","female","15-24",744100,9356,33,4.43488778390001
1985,"Belgium","female","25-34",744000,9356,78,10.4838709677419
1985,"Belgium","female","35-54",1216200,9356,252,20.7202762703503
1985,"Belgium","female","5-14",615800,9356,1,0.16239038648912
1985,"Belgium","female","55-74",1029700,9356,276,26.8039234728562
1985,"Belgium","female","75+",409900,9356,119,29.0314710905099
1985,"Belgium","male","15-24",775300,9356,109,14.0590739068748
1985,"Belgium","male","25-34",775300,9356,245,31.600670708113
1985,"Belgium","male","35-54",1228000,9356,493,40.1465798045603
